title,date,desc,content,keywords
Two studies suggest that newer variants of the coronavirus are better at traveling through the air.,2021-10-02T15:20:24Z, ,"Daily Covid Briefing
Oct. 2, 2021Updated Oct. 2, 2021, 11:10 a.m. ET
Oct. 2, 2021, 11:10 a.m. ET
By Apoorva Mandavilli
Newer variants of the coronavirus like Alpha and Delta are highly contagious… [+19282 chars]","['#,', '#\r\n', '#Oct.', '#2', '#2021']"
"Getting flu with Covid makes you twice as likely to die, says UK health chief",2021-10-10T10:59:56Z,"Both flu and Covid-19 will circulate for first time this winter, warns head of UK Health Security Agency<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>People who catch flu and Covid at the same time this winter are twic…","People who catch flu and Covid at the same time this winter are twice as likely to die than those who only have coronavirus, according to the UK Health Security Agency chief executive, Dr Jenny Harri… [+2991 chars]","['#,', '#People', '#catch', '#flu', '#Covid']"
Moscow announces one-week lockdown as Russia Covid deaths rise,2021-10-21T11:40:14Z,Mayor’s plan follows Putin announcing a weeklong nationwide paid holiday to stop spread of virus<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Moscow authorities have announced a weeklong closure of most non-essential s…,"Moscow authorities have announced a weeklong closure of most non-essential services from 28 October, as Russia registered its highest daily number of coronavirus deaths and infections since the start… [+2910 chars]","['#Moscow', '#authorities', '#announced', '#weeklong', '#closure']"
What you need to know about the coronavirus right now - Reuters,2021-10-15T05:22:00Z,What you need to know about the coronavirus right now  Reuters,"Staff members cheer after shooting confetti in the air to celebrate the re-opening of SEA LIFE Sydney Aquarium to visitors, following an extended closure due to coronavirus disease (COVID-19) lockdow… [+3939 chars]","['#Staff', '#members', '#cheer', '#shooting', '#confetti']"
What you need to know about the coronavirus right now - Reuters,2021-09-30T12:27:00Z,What you need to know about the coronavirus right now  Reuters,A woman wearing a protective face mask walks along a deserted city bridge during morning commute hours on the first day of a lockdown as the state of Victoria looks to curb the spread of a coronaviru… [+3660 chars],"['#A', '#woman', '#wearing', '#protective', '#face']"
What you need to know about the coronavirus right now - Reuters,2021-10-04T11:51:00Z,What you need to know about the coronavirus right now  Reuters,"A lone woman, wearing a protective face mask, walks across a city centre bridge as the state of Victoria looks to curb the spread of a coronavirus disease (COVID-19) outbreak in Melbourne, Australia,… [+3811 chars]","['#,', '#A', '#lone', '#woman', '#wearing']"
What you need to know about the coronavirus right now - Reuters,2021-10-01T12:27:00Z,What you need to know about the coronavirus right now  Reuters,"A bus driver in a protective face mask drives through the city centre during a lockdown to curb the spread of a coronavirus disease (COVID-19) in Sydney, Australia, September 30, 2021. REUTERS/Loren … [+3718 chars]","['#,', '#A', '#bus', '#driver', '#protective']"
What you need to know about the coronavirus right now - Reuters,2021-10-05T12:37:00Z,What you need to know about the coronavirus right now  Reuters,People walk through a city park marked with social distancing circles as some restrictions are eased for fully vaccinated residents during a lockdown to curb the spread of a coronavirus disease (COVI… [+3813 chars],"['#People', '#walk', '#city', '#park', '#marked']"
What you need to know about the coronavirus right now - Reuters,2021-10-06T13:01:00Z,What you need to know about the coronavirus right now  Reuters,"People wait in line for a coronavirus disease (COVID-19) test at a testing site, temporarily set up at a railway station in Seoul, South Korea, July 7, 2021. REUTERS/ Heo RanOct 6 (Reuters) - Here's … [+3610 chars]","['#,', '#(', '#)', '#People', '#wait']"
What you need to know about the coronavirus right now - Reuters,2021-09-24T12:32:00Z,What you need to know about the coronavirus right now  Reuters,"Commuters wearing masks to avoid contracting the coronavirus disease (COVID-19) walk on a zebra crossing in Seoul, South Korea, September 24, 2021. REUTERS/Kim Hong-JiSept 24 (Reuters) - Here's what … [+3715 chars]","['#,', '#(', '#)', '#24', '#-']"
What you need to know about the coronavirus right now - Reuters,2021-10-08T12:53:00Z,What you need to know about the coronavirus right now  Reuters,"People queue to receive COVID-19 vaccines inside Lichfield Cathedral, which has been turned into an emergency vaccination centre, amid the coronavirus disease (COVID-19) outbreak, in Lichfield, in Bi… [+3814 chars]","['#,', '#COVID-19', '#Lichfield', '#People', '#queue']"
More than 2 million people in England have had Covid booster jab,2021-10-09T16:40:47Z,"Priorities for third dose of vaccine are those over 50, health and social care workers and anyone with a weakened immune system<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>More than two million people have been given …","More than two million people have been given the coronavirus booster jab in England so far.
Booster jabs are being given at least six months after a second dose.
NHS England said on Saturday that t… [+1560 chars]","['#given', '#England', '#.', '#\r\n', '#More']"
